strategy,symbol,param_idx,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
BTCResidualMR,BNBUSDC,4,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.7}",8140.08,-18.5992,-0.1589,35,40.0,0.6965,27.19,-0.6673,117.1
BTCResidualMR,BNBUSDC,3,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.6}",8140.08,-18.5992,-0.1589,35,40.0,0.6965,27.19,-0.6673,117.1
BTCResidualMR,ETHUSDC,2,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.7}",8102.42,-18.9758,-0.1621,72,47.22,0.8688,26.88,-0.3459,117.1
MeanRevLowVol,ADAUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",8076.38,-19.2362,-0.1643,32,50.0,0.7092,30.79,-0.5316,117.1
WeekendGapFade,SOLUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",8073.25,-19.2675,-0.1646,12,33.33,0.3316,25.94,-1.0027,117.1
BTCResidualMR,DOGEUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",8040.54,-19.5946,-0.1674,56,50.0,0.844,38.42,-0.252,117.1
WeekendGapFade,AVAXUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",8034.45,-19.6555,-0.1679,20,25.0,0.5168,27.36,-0.8316,117.1
BTCResidualMR,AVAXUSDC,3,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.6}",7999.28,-20.0072,-0.1709,37,43.24,0.7483,25.25,-0.5752,117.1
BTCResidualMR,SOLUSDC,2,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.7}",7979.03,-20.2097,-0.1726,21,42.86,0.6808,38.84,-0.4828,117.1
MeanRevLowVol,XRPUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",7970.74,-20.2926,-0.1733,70,54.29,0.82,28.7,-0.4137,117.1
WeekendGapFade,BTCUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",7944.34,-20.5566,-0.1756,31,25.81,0.2803,20.88,-2.0114,117.1
BTCResidualMR,ETHUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",7926.0,-20.74,-0.1772,73,46.58,0.858,28.47,-0.3836,117.1
WeekendGapFade,SOLUSDC,2,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 1.5}",7774.74,-22.2526,-0.1901,12,25.0,0.2466,28.68,-1.2203,117.1
VolBreakoutMom,ETHUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",7771.73,-22.2827,-0.1903,122,36.07,0.8708,36.39,-0.5003,117.1
TSMOM,XRPUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",7744.01,-22.5599,-0.1927,273,37.73,0.9416,38.02,-0.1123,117.1
MeanRevLowVol,BNBUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",7736.25,-22.6375,-0.1934,28,39.29,0.4894,29.51,-0.9967,117.1
VolBreakoutMom,ETHUSDC,1,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",7673.11,-23.2689,-0.1988,60,30.0,0.7513,38.46,-0.6979,117.1
MeanRevLowVol,NEARUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",7638.79,-23.6121,-0.2017,33,48.48,0.7162,35.77,-0.5937,117.1
VolBreakoutMom,NEARUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",7552.29,-24.4771,-0.2091,77,36.36,0.8897,38.21,-0.3008,117.1
MeanRevLowVol,ETHUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",7513.91,-24.8609,-0.2124,53,49.06,0.7166,31.28,-0.6466,117.1
BTCResidualMR,DOGEUSDC,4,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.7}",7488.84,-25.1116,-0.2145,31,35.48,0.6237,33.35,-0.7644,117.1
TSMOM,BTCUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",7461.44,-25.3856,-0.2168,158,39.87,0.8562,36.38,-0.5062,117.1
BTCResidualMR,SOLUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",7437.67,-25.6233,-0.2189,23,39.13,0.6143,38.15,-0.6456,117.1
MeanRevLowVol,DOGEUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",7422.18,-25.7782,-0.2202,43,48.84,0.7255,37.86,-0.5558,117.1
VolBreakoutMom,BTCUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",7375.29,-26.2471,-0.2242,115,32.17,0.7952,36.25,-0.7029,117.1
VolBreakoutMom,AVAXUSDC,1,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",7360.21,-26.3979,-0.2255,88,28.41,0.8448,35.21,-0.4127,117.1
TSMOM,DOGEUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",7340.21,-26.5979,-0.2272,77,32.47,0.7942,35.71,-0.5119,117.1
