strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",20157.5,101.575,0.8676,121,34.71,1.3712,27.84,1.0494,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.25, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",20155.49,101.5549,0.8675,149,30.87,1.1592,35.43,0.881,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",20102.42,101.0242,0.8629,162,32.1,1.2188,24.07,0.9818,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 18, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",19977.16,99.7716,0.8522,106,34.91,1.2793,31.03,0.9135,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",19917.97,99.1797,0.8472,163,39.26,1.1548,36.82,0.8744,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",19905.06,99.0506,0.8461,89,37.08,1.3799,32.64,1.0247,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",19840.77,98.4077,0.8406,125,33.6,1.2225,25.35,0.9499,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 8, 'k_threshold': 1.25, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",19639.72,96.3972,0.8234,88,32.95,1.2918,34.98,0.9353,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",19635.28,96.3528,0.823,134,22.39,1.234,36.84,0.7342,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",19625.74,96.2574,0.8222,169,39.05,1.1421,37.19,0.8593,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",19610.6,96.106,0.8209,86,37.21,1.3913,30.4,1.0101,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 12, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",19593.65,95.9365,0.8195,77,28.57,1.5371,18.86,1.1235,117.1
